Silence Segmentation Report: Comic_Generator
============================================================
Duration:       474.6s
VAD Backend:    silero

Summary:
  Speech:     127.5s  ( 26.9%)  [46 segments]
  Silence:    344.6s  ( 72.6%)  [45 segments]
  Noise:        2.1s  (  0.4%)  [1 segments]

   #  Type          Start        End   Duration   RMS dB
-------------------------------------------------------
   1  silence      0.000s     3.650s     3.650s   -53.6
   2  speech       3.650s     7.198s     3.548s   -45.6
   3  silence      7.198s     7.746s     0.548s   -59.3
   4  speech       7.746s    11.518s     3.772s   -51.5
   5  silence     11.518s    13.826s     2.308s   -61.1
   6  speech      13.826s    17.054s     3.228s   -49.5
   7  silence     17.054s    18.466s     1.412s   -53.7
   8  speech      18.466s    18.910s     0.444s   -46.1
   9  silence     18.910s    19.906s     0.996s   -48.3
  10  speech      19.906s    20.670s     0.764s   -47.5
  11  silence     20.670s    37.858s    17.188s   -49.8
  12  speech      37.858s    38.910s     1.052s   -47.5
  13  silence     38.910s    40.482s     1.572s   -57.7
  14  speech      40.482s    44.926s     4.444s   -50.7
  15  silence     44.926s    46.914s     1.988s   -58.0
  16  speech      46.914s    47.422s     0.508s   -56.3
  17  silence     47.422s    48.866s     1.444s   -57.2
  18  speech      48.866s    50.398s     1.532s   -54.2
  19  silence     50.398s    51.362s     0.964s   -60.1
  20  speech      51.362s    52.830s     1.468s   -49.9
  21  silence     52.830s    54.594s     1.764s   -58.9
  22  speech      54.594s    56.030s     1.436s   -53.9
  23  silence     56.030s    58.178s     2.148s   -59.6
  24  speech      58.178s    64.382s     6.204s   -52.1
  25  silence     64.382s    64.898s     0.516s   -58.2
  26  speech      64.898s    66.334s     1.436s   -54.5
  27  silence     66.334s    68.002s     1.668s   -55.5
  28  speech      68.002s    69.374s     1.372s   -51.0
  29  silence     69.374s    70.978s     1.604s   -54.0
  30  speech      70.978s    76.862s     5.884s   -47.9
  31  speech      77.346s    89.022s    11.676s   -49.8
  32  silence     89.022s    90.178s     1.156s   -53.0
  33  speech      90.178s    93.150s     2.972s   -48.5
  34  silence     93.150s    93.666s     0.516s   -58.2
  35  speech      93.666s    99.550s     5.884s   -53.2
  36  silence     99.550s   101.506s     1.956s   -56.1
  37  speech     101.506s   102.974s     1.468s   -54.3
  38  silence    102.974s   104.002s     1.028s   -55.6
  39  speech     104.002s   107.966s     3.964s   -50.4
  40  silence    107.966s   148.930s    40.964s   -52.8
  41  speech     148.930s   149.406s     0.476s   -49.9
  42  silence    149.406s   151.074s     1.668s   -57.8
  43  speech     151.074s   152.510s     1.436s   -50.7
  44  silence    152.510s   155.010s     2.500s   -60.0
  45  speech     155.010s   157.950s     2.940s   -51.7
  46  noise      157.950s   160.002s     2.052s   -38.7
  47  speech     160.002s   166.366s     6.364s   -47.5
  48  silence    166.366s   167.426s     1.060s   -58.6
  49  speech     167.426s   171.838s     4.412s   -49.6
  50  silence    171.838s   174.146s     2.308s   -59.7
  51  speech     174.146s   176.478s     2.332s   -49.7
  52  silence    176.478s   178.370s     1.892s   -59.0
  53  speech     178.370s   179.262s     0.892s   -52.9
  54  silence    179.262s   182.690s     3.428s   -60.3
  55  speech     182.690s   183.710s     1.020s   -55.5
  56  silence    183.710s   239.650s    55.940s   -49.7
  57  speech     239.650s   243.582s     3.932s   -42.9
  58  silence    243.582s   244.482s     0.900s   -56.6
  59  speech     244.482s   247.326s     2.844s   -46.1
  60  silence    247.326s   399.074s   151.748s   -52.9
  61  speech     399.074s   400.766s     1.692s   -41.9
  62  silence    400.766s   401.954s     1.188s   -57.2
  63  speech     401.954s   403.294s     1.340s   -48.5
  64  silence    403.294s   406.338s     3.044s   -58.0
  65  speech     406.338s   411.166s     4.828s   -46.4
  66  silence    411.166s   411.970s     0.804s   -57.2
  67  speech     411.970s   414.014s     2.044s   -47.2
  68  silence    414.014s   416.738s     2.724s   -60.2
  69  speech     416.738s   419.806s     3.068s   -47.9
  70  silence    419.806s   421.346s     1.540s   -58.8
  71  speech     421.346s   423.710s     2.364s   -51.2
  72  silence    423.710s   424.610s     0.900s   -59.6
  73  speech     424.610s   427.710s     3.100s   -51.2
  74  silence    427.710s   429.090s     1.380s   -51.7
  75  speech     429.090s   430.142s     1.052s   -46.6
  76  silence    430.142s   430.850s     0.708s   -46.8
  77  speech     430.850s   431.326s     0.476s   -52.5
  78  silence    431.326s   435.138s     3.812s   -59.5
  79  speech     435.138s   436.798s     1.660s   -52.2
  80  silence    436.798s   448.514s    11.716s   -47.5
  81  speech     448.514s   454.238s     5.724s   -51.5
  82  silence    454.238s   455.682s     1.444s   -59.5
  83  speech     455.682s   456.318s     0.636s   -53.2
  84  silence    456.318s   457.410s     1.092s   -57.8
  85  speech     457.410s   461.598s     4.188s   -52.8
  86  silence    461.598s   462.242s     0.644s   -56.0
  87  speech     462.242s   464.414s     2.172s   -52.8
  88  silence    464.414s   468.738s     4.324s   -56.3
  89  speech     468.738s   469.854s     1.116s   -50.8
  90  silence    469.854s   470.562s     0.708s   -60.0
  91  speech     470.562s   472.894s     2.332s   -40.6
  92  silence    472.894s   474.624s     1.730s   -55.0
